date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:18	7848/7848	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Feb%202026%2021:09:17%20GMT	https://www.cargas-personales.shop/	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/index.html	(from )
18:09:18	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:17%20GMT	https://www.cargas-personales.shop/robots.txt		(from )
18:09:18	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5d417fddcde00%22	https://www.cargas-personales.shop/favicon.ico	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/favicon.ico	(from https://www.cargas-personales.shop/)
18:09:18	144883/144883	---M-Z	200	added ('OK')	text/css	etag:%22235f3-5cf810ae40600-gzip%22	https://www.cargas-personales.shop/css/op/bootstrap.min.css	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/css/op/bootstrap.min.css	(from https://www.cargas-personales.shop/)
18:09:18	253459/253459	---M-Z	200	added ('OK')	text/css	etag:%223de13-5cf810ae40600-gzip%22	https://www.cargas-personales.shop/css/op/normalizer.css	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/css/op/normalizer.css	(from https://www.cargas-personales.shop/)
18:09:18	12151/12151	---M-Z	200	added ('OK')	text/css	etag:%222f77-5cf810ae40600-gzip%22	https://www.cargas-personales.shop/css/op/styles.css	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/css/op/styles.css	(from https://www.cargas-personales.shop/)
18:09:19	179008/179008	---M-Z	200	added ('OK')	text/css	etag:%222bb40-5cf839a015fc0-gzip%22	https://www.cargas-personales.shop/css/op/index.css	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/css/op/index.css	(from https://www.cargas-personales.shop/)
18:09:19	5536/5536	---M--	200	added ('OK')	image/svg+xml	etag:%2215a0-5cf810ae40600%22	https://www.cargas-personales.shop/assets/flow.svg	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/assets/flow.svg	(from https://www.cargas-personales.shop/)
18:09:19	9070/9070	---M--	200	added ('OK')	image/svg+xml	etag:%22236e-5cf810ae40600%22	https://www.cargas-personales.shop/assets/secure.svg	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/assets/secure.svg	(from https://www.cargas-personales.shop/)
18:09:19	9117/9117	---M--	200	added ('OK')	image/svg+xml	etag:%22239d-5cf810ae40600%22	https://www.cargas-personales.shop/assets/secure-mobile.svg	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/assets/secure-mobile.svg	(from https://www.cargas-personales.shop/)
18:09:20	118040/118040	---M--	200	added ('OK')	image/jpeg	etag:%221cd18-64a5b4f36378c%22	https://www.cargas-personales.shop/logo.jpg	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/logo.jpg	(from https://www.cargas-personales.shop/)
18:09:20	89390/89390	---M-Z	200	added ('OK')	application/javascript	etag:%2215d2e-5cf8b1322ba00-gzip%22	https://www.cargas-personales.shop/javascript/query.min.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/query.min.js	(from https://www.cargas-personales.shop/)
18:09:20	45167/45167	---M-Z	200	added ('OK')	application/javascript	etag:%22b06f-5cf810ae40600-gzip%22	https://www.cargas-personales.shop/javascript/query-form.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/query-form.js	(from https://www.cargas-personales.shop/)
18:09:21	21236/21236	---M-Z	200	added ('OK')	application/javascript	etag:%2252f4-5cf5bd9774840-gzip%22	https://www.cargas-personales.shop/javascript/poper.min.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/poper.min.js	(from https://www.cargas-personales.shop/)
18:09:21	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-5cf810af34840-gzip%22	https://www.cargas-personales.shop/javascript/bootstrap.min.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/bootstrap.min.js	(from https://www.cargas-personales.shop/)
18:09:21	23780/23780	---M-Z	200	added ('OK')	application/javascript	etag:%225ce4-5cf810af34840-gzip%22	https://www.cargas-personales.shop/javascript/jquery.mask.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/jquery.mask.js	(from https://www.cargas-personales.shop/)
18:09:22	9532/9532	---M-Z	200	added ('OK')	application/javascript	etag:%22253c-5cf96daa76200-gzip%22	https://www.cargas-personales.shop/javascript/custom.js	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/javascript/custom.js	(from https://www.cargas-personales.shop/)
18:09:22	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:22%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.eot	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:22	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:22%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:22	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:22%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.woff2	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:22	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:22%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.woff	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:23	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:23%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:23	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:23%20GMT	https://www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/bootstrap/glyphicons-halflings-regular.svg	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:23	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:23%20GMT	https://www.cargas-personales.shop/fonts/tp/tpstyle-icons.ttf	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/fonts/tp/tpstyle-icons.ttf	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:23	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:23%20GMT	https://www.cargas-personales.shop/images/icons/icon-personal-black.png	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/images/icons/icon-personal-black.png	(from https://www.cargas-personales.shop/css/op/normalizer.css)
18:09:24	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Feb%202026%2021:09:24%20GMT	https://www.cargas-personales.shop/images/icons/icon-personal-club.png	C:/My%20Web%20Sites/personal/www.cargas-personales.shop/images/icons/icon-personal-club.png	(from https://www.cargas-personales.shop/css/op/normalizer.css)
